"osm_id","name","osm_key","osm_value","category","addr:street","addr:housenumber","addr:city","addr:postcode","addr:state","phone","contact:phone","website","contact:website","opening_hours"
"498326886","Caribbean Cuisine","amenity","cafe","traditional","Bissonnet Street","7433","Houston","77074",NA,NA,NA,NA,NA,NA
"1234229401","Shipley Donuts","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1301295040","Starbucks","amenity","cafe","traditional","Memorial Drive","12500","Lantern Lane","77024","TX","+1 713-647-9824",NA,"https://www.starbucks.com/store-locator/store/8965/memorial-benignus-12500-memorial-dr-houston-tx-770247556-us",NA,NA
"2225388454","Starbucks","amenity","cafe","traditional","City Walk Boulevard","16098","Sugar Land","77479","TX","+1 281-710-8682",NA,"https://www.starbucks.com/store-locator/store/14417/sugar-land-town-center-16098-city-walk-blvd-sugar-land-tx-774796539-us",NA,"Su-Th 05:30-21:30; Fr,Sa 05:30-23:00"
"2383851268","Starbucks","amenity","cafe","traditional","Hillcroft Avenue","6001","Houston","77081","TX","+1 713-270-9687",NA,"https://www.starbucks.com/store-locator/store/12435/hillcroft-us-59-6001-hillcroft-houston-tx-770811014-us",NA,NA
"2711946397","Citiline Deli","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3903913977","Starbucks","amenity","cafe","traditional","Katy Freeway","19955","Houston","77094","TX","+1 281-647-9191",NA,"https://www.starbucks.com/store-locator/store/12105/target-houston-907-19955-katy-fwy-houston-tx-770941019-us",NA,NA
"3916915535","Starbucks","amenity","cafe","traditional","South Mason Road","547","Katy","77450","TX","+1 281-398-3958",NA,"https://www.starbucks.com/store-locator/store/9180/mason-merrymount-547-s-mason-rd-katy-tx-774502491-us",NA,NA
"3917249546","The Bagel Cafe","amenity","cafe","traditional","South Mason Road","631","Katy","77450","TX",NA,"+1 281 646 7474",NA,"https://thebagelcafe.net/;https://katybagels.com/","Mo-Fr 06:00-14:00, Sa-Su 07:00-14:00"
"4227549131","Shipley Donuts","amenity","cafe","traditional","Texas Parkway","1701","Missouri City","77489","TX",NA,NA,NA,NA,NA
"4265057871","Wynn Network Plus","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,"+1 281-302-5836",NA,"http://www.wynnnetworkplus.com/","Mo-Sa 09:00-19:00; PH closed"
"4414028008","Tea House and Coffee","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4535586640","Java Coffee & Tea Co.","amenity","cafe","traditional","Fondren Road","2727","Houston","77063","TX","+1-713-974-0443",NA,"https://www.javacoffee.com/",NA,NA
"4937805190","Starbucks","amenity","cafe","traditional","West Grand Parkway South","7770 - A","Richmond","77406","TX","+1 832-595-8069",NA,"https://www.starbucks.com/store-locator/store/1008844/grand-parkway-w-bellfort-7770-w-grand-parkway-s-suite-a-richmond-tx-7740658",NA,NA
"5256066562","Starbucks","amenity","cafe","traditional","Spring Green Boulevard","1712","Katy","77494","TX","+1 281-769-4360",NA,"https://www.starbucks.com/store-locator/store/1013227/kroger-katy-146-1712-spring-green-blvd-katy-tx-77494-us",NA,NA
"5256066612","Southern Maid Donuts","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5256216632","Daily Donuts","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5256216755","Southern Maid Donuts","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5372641433","Starbucks","amenity","cafe","traditional","Highway 6 South","803","Houston","77079","TX","+1 281-496-1468",NA,"https://www.starbucks.com/store-locator/store/8213/hwy-6-memorial-803-highway-6-south-houston-tx-770794040-us",NA,NA
"5760943324","Mugz Coffee Bar","amenity","cafe","traditional","FM 359","503","Richmond","77406","TX",NA,NA,NA,NA,NA
"5771241427","Glory Bean Coffee","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5790105001","Tree House - Craft Coffee & Frozen Yogurt","amenity","cafe","traditional","Memorial Drive","14008","Houston","77079","TX",NA,NA,NA,NA,NA
"6086145368","Starbucks","amenity","cafe","traditional","FM 1463, 100","801","Katy","77494","TX","+1 281-636-8917",NA,"https://www.starbucks.com/store-locator/store/1007621/i-10-1463-801-fm-1463-100-katy-tx-774947925-us",NA,NA
"6452907429","Hurts Donut Co","amenity","cafe","traditional","Spring Green Boulevard","9555","Katy","77494","TX",NA,NA,NA,NA,"24/7"
"6747280661","Cougar Corner","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,"https://dineoncampus.com/uhsl/cougar-corner-coffee-shop",NA,NA
"6781830920","OG Tea","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7075942811","Republic Roots Coffee + Juice Co.","amenity","cafe","traditional","University Boulevard","18721","Sugar Land",NA,"TX",NA,NA,NA,NA,NA
"7076217079","Mango Hut","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7147677577","Starbucks","amenity","cafe","traditional","South Voss Road","1655","Houston","77057","TX","+1 713-975-7667",NA,"https://www.starbucks.com/store-locator/store/16713/san-felipe-voss-se-corner-1655-s-voss-rd-houston-tx-770572622-us",NA,"06:00 - 20:00"
"7924537391","Starbucks","amenity","cafe","traditional","Katy Freeway","8420","Spring Valley","77024","TX","+1 713-827-1350",NA,"https://www.starbucks.com/store-locator/store/6761/i-10-wirt-8420-katy-freeway-500-spring-valley-tx-770241940-u",NA,"Mo-Su 05:00-20:00"
"7975229412","Starbucks","amenity","cafe","traditional","Highway 90A","6502","Sugar Land","77498","TX","+1 281-414-3249",NA,"https://www.starbucks.com/store-locator/store/1014245/hwy-90-easton-6502-highway-90-a-sugar-land-tx-774982012-us",NA,NA
"8168447754","Starbucks","amenity","cafe","traditional","Eldridge Parkway","1535","Houston","77077","TX","+1 281-596-8895",NA,"https://www.starbucks.com/store-locator/store/17411/briar-forest-eldridge-1535-eldridge-pkwy-200-houston-tx-770772430-us",NA,NA
"8267827504","Starbucks","amenity","cafe","traditional","Commercial Drive","23912","Rosenberg","77471","TX","+1 281-232-1240",NA,"https://www.starbucks.com/store-locator/store/10112/target-rosenberg-2205-23912-commercial-dr-rosenberg-tx-774716204-us",NA,NA
"8539550585","Essence House Cafe","amenity","cafe","traditional","FM 359","8506",NA,NA,NA,"+1-281-533-0255",NA,"https://www.essencehousecafe.com/",NA,"Mo-Fr 06:00-21:00; Sa 07:00-21:00; Su 07:00-20:00"
"8591836526","Starbucks","amenity","cafe","traditional","Westheimer Parkway","23710","Katy","77494","TX","+1 281-392-8331",NA,"https://www.starbucks.com/store-locator/store/12768/target-katy-cinco-ranch-1908-23710-westheimer-pkwy-katy-tx-774943605-us",NA,NA
"8591858833","Starbucks","amenity","cafe","traditional","Southwest Freeway","16300","Sugar Land","77479","TX","+1 281-340-0550",NA,"https://www.starbucks.com/store-locator/store/8938/target-sugar-land-1786-16300-southwest-fwy-sugar-land-tx-774792371-us",NA,NA
"8600644701","Starbucks","amenity","cafe","traditional","Southwest Freeway","24406","Rosenberg","77471","TX","+1 281-232-5130",NA,"https://www.starbucks.com/store-locator/store/17050/hwy-59-hwy-762-24406-sw-freeway-rosenberg-tx-774715989-us",NA,"Su-Sa 05:00-21:00; PH off"
"8882810736","Starbucks","amenity","cafe","traditional","Katy Freeway","9315","Houston",NA,"TX",NA,NA,NA,"https://www.starbucks.com/store-locator/store/9240/echo-lane-i-10-9315-katy-freeway-houston-tx-770241512-us",NA
"9021372880","Ding Tea","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9325732036","District 7 Memorial","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,"https://district7memorial.com/",NA,NA
"9434507267","Starbucks","amenity","cafe","traditional","Westheimer Road","8605","Houston","77063","TX","+1 713-331-2136",NA,"https://www.starbucks.com/store-locator/store/8407/target-westheimer-2139-8605-westheimer-rd-houston-tx-770634201-us",NA,NA
"9536809069","Starbucks","amenity","cafe","traditional","Eldridge Parkway","2700","Houston","77082","TX","+1 281-810-5251",NA,"https://www.starbucks.com/store-locator/store/10715/target-houston-far-west-2419-2700-eldridge-pkwy-houston-tx-770826870-us",NA,NA
"9537681545","Papa Joe's New York Style Deli","amenity","cafe","traditional","Avenue H","5192B",NA,NA,NA,NA,NA,NA,NA,"Mo-Sa 10:00-20:00"
"9611730329","Starbucks","amenity","cafe","traditional","Westheimer Road","9660","Houston","77063","TX","+1 713-783-0733",NA,"https://www.starbucks.com/store-locator/store/20127/randalls-houston-2961-9660-westheimer-rd-houston-tx-77042-us",NA,"Mo-Su 06:00-21:00"
"9611730330","Signature Cafe","amenity","cafe","traditional","Westheimer Road","9660","Houston","77063","TX",NA,NA,NA,NA,"Mo-We 08:00-17:00, Th-Fr 08:00-18:00, Sa 08:00-17:00, Su 09:30-16:00"
"9611895939","The Teahouse","amenity","cafe","traditional","Westheimer Road","9664","Houston","77063","TX","+1-832-668-5966",NA,"https://www.teahousebeverage.com/",NA,"Mo-Fr 11:00-19:00, Sa-Su 11:00-20:00"
"9634990867","The Prairie Table","amenity","cafe","traditional","Musselburgh Court","1307","Missouri City","77459","TX","+1-346-297-4014",NA,"https://www.theprairietable.com",NA,"Mo-Fr 09:00-18:00"
"9795918827","Starbucks","amenity","cafe","traditional","Gessner Road","984","Houston","77024","TX","+1 713-300-0227",NA,"https://www.starbucks.com/store-locator/store/1015153/target-houston-1435-984-gessner-rd-houston-tx-77024-us",NA,NA
"9847083778","Starbucks","amenity","cafe","traditional","Westheimer Road","10801","Houston","77042","TX","+1 713-782-9950",NA,"https://www.starbucks.com/store-locator/store/16955/target-houston-75-10801-westheimer-rd-houston-tx-770423293-us",NA,NA
"9861962116","Starbucks","amenity","cafe","traditional","Highway 6","6000","Missouri City","77459","TX","+1 281-403-6662",NA,"https://www.starbucks.com/store-locator/store/11383/target-missouri-city-1359-6000-hwy-6-missouri-city-tx-774594163-us",NA,NA
"10091333117","Kim's Tea House","amenity","cafe","traditional","South Mason Road","1523","Katy",NA,"TX",NA,NA,NA,NA,NA
"10223673217","Dulcédo Coffee","amenity","cafe","traditional","FM-1093 W","26750",NA,"77494",NA,NA,NA,NA,NA,NA
"10541923275","Minuti Coffee","amenity","cafe","traditional","Katy Gaston Road","7115","Richmond","77406","TX","+1-281-762-0371",NA,"https://minuticoffee.com",NA,NA
"10582824875","Long Coffee","amenity","cafe","traditional","Bellaire Boulevard","10611","Houston","77072","TX","+1-281-983-5700",NA,"https://www.longcoffeeus.com/",NA,"Fr-Sa 08:00-23:00, Mo-Th,Su 08:00-22:00"
"10582824878","Kravin Fruit Bar","amenity","cafe","traditional","Bellaire Boulevard","10623","Houston","77072","TX","+12815305728",NA,"https://www.kravinhouston.com/",NA,"Mo-Su 10:00-22:00"
"10582824882","Hangout Fruit Juices & Bites","amenity","cafe","traditional","Bellaire Boulevard","10613","Houston","77072","TX","+12817412522",NA,"https://hangoutfruitjuicebites.com/",NA,"Mo-Su 11:00-22:30"
"10582824886","Teaholic","amenity","cafe","traditional","Bellaire Boulevard","10613","Houston","77072","TX","+18322436902",NA,NA,NA,"Mo-Su 11:00-22:00"
"10582824887","Bambu","amenity","cafe","traditional","Bellaire Boulevard","10613","Houston","77072","TX","+18323283900",NA,"https://www.drinkbambu.com/",NA,"Mo-Su 09:00-23:00"
"10771397296","Don Cafe","amenity","cafe","traditional","Bellaire Boulevard","9000","Houston","77036","TX","+1 (713) 777-9500",NA,NA,NA,"Mo-Su 08:00-19:00"
"10905693109","Kokee Tea","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10919869145","Starbucks","amenity","cafe","traditional","Southwest Freeway","16511","Sugar Land","77478","TX","+1 281-243-7708",NA,"https://www.starbucks.com/store-locator/store/1019768/macys-first-colony-mall-west-16511-southwest-freeway-sugar-land-tx-77478-us",NA,NA
"11220596424","Starbucks","amenity","cafe","traditional","Westheimer Parkway","22020","Katy","77450","TX","+1 281-578-6606",NA,"https://www.starbucks.com/store-locator/store/16508/mason-rd-westheimer-pkwy-22020-westheimer-pky-katy-tx-774508291-us",NA,NA
"11261608921","Your Cup Of Tea & Trésors","amenity","cafe","traditional","Fondren Road","2620",NA,NA,NA,NA,NA,NA,NA,"Mo-Fr 11:00-15:00; Sa-Su ""Private Parties"""
"11404866960","The Teahouse","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11419434399","Bonjour Cafe","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11488327769","Zam Zam Kitchen","amenity","cafe","traditional","Westheimer Road","8383","Houston","77063","TX","+1-832-623-6536",NA,NA,NA,NA
"11506874151","Uni Uni","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,"+1 281-939-5830",NA,NA,"Mo-Tu,Th,Su 11:30-19:30, Fr-Sa 11:30-20:30"
"11506982917","Feng Cha","amenity","cafe","traditional","Katy Freeway","19143","Houston","77094","TX",NA,"+1 281-676-4208",NA,NA,"Mo-Th 11:00-21:00; Fr-Su 11:00-22:00"
"11512590184","Starbucks","amenity","cafe","traditional","Westheimer Road","7705","Houston","77063","TX","+1 713-266-6474",NA,"https://www.starbucks.com/store-locator/store/1012651/westheimer-hillcroft-7705-westheimer-road-houston-tx-770634651-us",NA,NA
"11523048262","Flying Biscuit Cafe","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11664554778","85°C","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11664554781","Hong Kong's Cafe","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11914547675","Bean & Bottle","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11914596788","Corner Bakery","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11916118203","Starbucks","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11916171344","Starbucks","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12056048852","Bobo Tea","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mo-Su 11:00-20:00"
"12068800833","Ding Tea","amenity","cafe","traditional","FM 762","4130","Rosenberg","77469","TX",NA,NA,NA,NA,"Mo-Su 11:00-21:00"
"12105312612","Tim Hortons","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12138983737","Starbucks","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12193551224","Starbucks","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12215214427","Bagel Bob's NYTX","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12217020441","Totally Tea","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12278923381","Magic Cup","amenity","cafe","traditional","Bellaire Boulevard","11724","Houston","77072","TX",NA,NA,"https://www.magiccupcafe.com/houston",NA,NA
"12303110108","El Kiosko","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12437701850","Teapresso Bar","amenity","cafe","traditional","State Highway 6 South","3382",NA,"77478","TX",NA,"+1 281-565-0060","https://www.teapressobarsugarland.com/",NA,"Mo-Th, Su 11:00-20:00; Fr, Sa 11:00-21:00"
"12447127622","Sharetea","amenity","cafe","traditional","State Highway 6 South","3227","Sugar Land","77478","TX",NA,"+1 832-303-8838",NA,"https://www.1992sharetea.com","11:00-21:00"
"12459533677","Day 6 Coffee Company","amenity","cafe","traditional","State Highway 6 South","3227","Sugar Land","77478","TX",NA,"+1 832-696-7822",NA,"https://www.daysixcoffee.com/","Mo-Fr 06:00-21:00; Sa-Su 07:00-21:00"
"12539504993","Tea Top","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12539504994","Yumcha Tea & Bakery","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12539504999","Le’DRIP Coffee & Tea","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12539522501","The Alley","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12539522514","AtCha","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12539522522","Sharetea","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12539522525","Kung Fu Tea","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12540809504","Sunright Tea Studio","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12540809506","10X Boba Tea Lounge","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12540809519","Bing Su Korean Dessert Cafe","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12540809521","Möge Tee","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12540809527","San Chen","amenity","cafe","traditional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
